_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Cluster,anomaly_score,Model_Result,Final_Result
4,116,3,1750246540828,-1,,,False,0,0,0,0,2,0,2,139.0,0,-1,-1,-1,-1,,456,1,0,-1,False,0,413,-1,25,False,,0,2,3.942960608014668,Anomaly,Anomaly
12,115,11,1750492369548,46,1750932525880.0,440156332.0,True,-1,0,0,0,2,0,2,139.0,0,272,272,319,10,1750499569548.0,302,1,104806,26,False,0,207,50,40,False,105973.0,0,3,4.290858393342817,Anomaly,Anomaly
17,102,16,1750496101867,29,1750920811701.0,424709834.0,True,-1,0,0,0,2,0,2,139.0,0,80,80,378,11,1750503301867.0,252,1,93543,8,False,0,110,11,14,False,94710.0,0,3,4.1079722655550945,Anomaly,Anomaly
21,41,20,1750660676249,12,1750661076262.0,400013.0,True,-1,0,0,0,2,0,0,137.0,0,367,367,57,15,1750667876249.0,12,1,117510,3,True,0,230,4,8,False,117320.0,0,3,3.898972024529264,Anomaly,Anomaly
29,94,28,1750829047538,17,1750833569062.0,4521524.0,True,-1,1,0,0,0,0,1,137.0,0,170,170,350,21,1750836247538.0,470,1,3612,33,True,0,380,61,51,False,4779.0,0,1,7.564208779327821,Anomaly,Anomaly
33,106,32,1750833612130,21,1750834280071.0,667941.0,True,-1,0,0,0,2,0,2,139.0,0,169,169,329,25,1750840812130.0,493,1,3612,33,True,0,382,61,51,False,4779.0,0,1,3.9001711770909497,Anomaly,Anomaly
35,32,34,1750834280071,89,1751209034767.0,374754696.0,True,-1,0,0,0,2,0,0,137.0,0,159,159,1,27,1750841480071.0,482,1,3612,33,False,0,383,61,51,False,4779.0,0,1,4.462397176282969,Anomaly,Anomaly
46,92,45,1750854273116,27,1750863867767.0,9594651.0,True,-1,1,0,0,0,0,1,137.0,0,297,297,73,33,1750861473116.0,447,1,106293,14,False,0,156,24,26,False,106161.0,0,3,7.041112306682046,Anomaly,Anomaly
334,66,333,1751709866266,-1,,7200000.0,True,-1,0,0,0,2,0,0,137.0,0,9,9,309,275,1751717066266.0,191,1,77800,16,False,0,263,29,29,False,78967.0,0,3,4.379129353015133,Anomaly,Anomaly
90,58,89,1750936956881,52,1750937931781.0,974900.0,True,-1,0,0,0,2,1,2,115.0,0,30,30,167,61,1750944156881.0,285,1,85116,11,True,0,355,21,19,False,86283.0,0,3,5.394053312308883,Anomaly,Anomaly
